beta,source_region,precision,recall,f1,iou,miou,oa
0.12, palu, 0.5963, 0.0386, 0.0726, 0.0377, 0.4364, 0.8361
0.12, Tiburon Peninsula (planet), 0.2297, 0.8160, 0.3585, 0.2184, 0.3290, 0.5154
0.12, Tiburon Peninsula (Sentinel), 0.6327, 0.0412, 0.0773, 0.0402, 0.4380, 0.8369
0.12, Wenchuan, 0.5912, 0.5502, 0.5699, 0.3985, 0.6235, 0.8622
0.15, Hokkaido Iburi-Tobu, 0.5904, 0.1087, 0.1836, 0.1011, 0.4689, 0.8396
0.15, Jiuzhai valley (UAV-0.2m), 0.4021, 0.7386, 0.5207, 0.3520, 0.5474, 0.7744
0.15, Jiuzhai valley (UAV-0.5m), 0.6333, 0.2570, 0.3656, 0.2237, 0.5345, 0.8520
0.15, Lombok, 0.7116, 0.0193, 0.0376, 0.0192, 0.4273, 0.8360
0.15, Longxi River (SAT), 0.6614, 0.0289, 0.0554, 0.0285, 0.4321, 0.8364
0.15, Mengdong Township, 0.6601, 0.0202, 0.0392, 0.0200, 0.4276, 0.8357
0.15, Moxi town (UAV-0.2m), 0.2228, 0.9516, 0.3611, 0.2203, 0.2783, 0.4412
0.15, Moxi town (UAV-1m), 0.6952, 0.0474, 0.0887, 0.0464, 0.4418, 0.8385
0.15, Moxitaidi (SAT), 0.6032, 0.4733, 0.5304, 0.3609, 0.6050, 0.8609
0.15, Moxitaidi (UAV-0.6m), 0.5598, 0.3722, 0.4471, 0.2879, 0.5626, 0.8473
0.15, Moxitaidi (UAV-1m), 0.2409, 0.7740, 0.3674, 0.2251, 0.3588, 0.5577
0.15, palu, 0.6767, 0.0693, 0.1258, 0.0671, 0.4527, 0.8401
0.15, Tiburon Peninsula (planet), 0.3569, 0.7828, 0.4903, 0.3247, 0.5071, 0.7299
0.15, Tiburon Peninsula (Sentinel), 0.6505, 0.0770, 0.1377, 0.0739, 0.4559, 0.8400
0.15, Wenchuan, 0.6427, 0.3081, 0.4165, 0.2630, 0.5560, 0.8568
